	mean	sd	hpd_5%	hpd_95%	mcse_mean	mcse_sd	ess_mean	ess_sd	ess_bulk	ess_tail	r_hat
ŷ[168]	0.641	0.074	0.526	0.769	0.001	0.0	16038.0	15968.0	16051.0	8398.0	1.0
ŷ[169]	0.538	0.059	0.444	0.635	0.001	0.0	7485.0	7485.0	7502.0	7492.0	1.0
ŷ[170]	0.614	0.075	0.49	0.735	0.001	0.0	15051.0	14784.0	14960.0	7369.0	1.0
ŷ[171]	0.409	0.067	0.296	0.517	0.001	0.0	12223.0	11833.0	12252.0	8403.0	1.0
ŷ[172]	0.367	0.075	0.246	0.491	0.001	0.0	12152.0	11544.0	12234.0	7656.0	1.0
ŷ[173]	0.714	0.047	0.639	0.793	0.0	0.0	17289.0	17227.0	17217.0	8175.0	1.0
ŷ[174]	0.714	0.047	0.639	0.793	0.0	0.0	17289.0	17227.0	17217.0	8175.0	1.0
ŷ[175]	0.714	0.047	0.639	0.793	0.0	0.0	17289.0	17227.0	17217.0	8175.0	1.0
ŷ[176]	0.644	0.042	0.577	0.715	0.0	0.0	14591.0	14455.0	14553.0	9026.0	1.0
ŷ[177]	0.644	0.042	0.577	0.715	0.0	0.0	14591.0	14455.0	14553.0	9026.0	1.0
ŷ[178]	0.644	0.042	0.577	0.715	0.0	0.0	14591.0	14455.0	14553.0	9026.0	1.0
ŷ[179]	0.644	0.042	0.577	0.715	0.0	0.0	14591.0	14455.0	14553.0	9026.0	1.0
ŷ[180]	0.644	0.042	0.577	0.715	0.0	0.0	14591.0	14455.0	14553.0	9026.0	1.0
ŷ[181]	0.353	0.054	0.267	0.442	0.001	0.0	6508.0	6508.0	6497.0	8343.0	1.0
ŷ[182]	0.525	0.053	0.437	0.61	0.001	0.0	7613.0	7613.0	7620.0	8887.0	1.0
ŷ[183]	0.619	0.077	0.491	0.744	0.001	0.0	18267.0	17785.0	18133.0	6704.0	1.0
ŷ[184]	0.714	0.067	0.605	0.823	0.001	0.0	15672.0	15672.0	16080.0	7768.0	1.0
ŷ[185]	0.621	0.056	0.524	0.709	0.001	0.0	7059.0	7059.0	7217.0	7392.0	1.0
ŷ[186]	0.69	0.069	0.583	0.807	0.001	0.0	15595.0	15595.0	15678.0	7686.0	1.0
ŷ[187]	0.492	0.069	0.379	0.604	0.001	0.0	11777.0	11777.0	11781.0	7591.0	1.0
ŷ[188]	0.448	0.079	0.315	0.576	0.001	0.001	11513.0	11458.0	11553.0	7986.0	1.0
